"Informant","Northern","SentenceID","read","Version","InformantGroup","UniqueNumb","type","Realization","Reflexive","Adverb","Subcondition","WordOrder","Comment"
"NOR021","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR022","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR023","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål si at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR027","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål si at han ofte sette seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR037","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR038","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR042","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR044","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR045","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR046","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål si at han best Pål si at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR047","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR048","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","N Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR056","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Han Pål si at han sett sæ oftest bakerst i bussen.","Reflexive","ofte","BridgeV","OTHER","oftest"
"NOR205","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR206","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR210","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T301","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T302","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T303","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sa at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"T304","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Han Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T305","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T307","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sier at han ofte sæt sæ lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T308","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Han Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T309","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sier han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"T310","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål sei at han ofte sette seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"T311","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Pål si at æ ofte sæt mæ lengst bak i bussen.","Reflexive","ofte","BridgeV","OTHER","1st person"
"T312","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"B",2101,"Produce","Han Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO02","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at ho satt sæ lengst bak i bussen.","Reflexive","ofte","BridgeV","OTHER","drop adverb"
"KO03","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at hun sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"KO04","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at ho pleie å sette sæ lengst bak i bussen.","Reflexive","ofte","BridgeV","OTHER","drop adverb + added verb"
"KO12","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Ho Eline sier at hun ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO14","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Ho Eline sa at ho ofte sett seg bakerst i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO16","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at hun ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO19","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at ho sette sæ ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"KO25","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at ho sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"KO26","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sier at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"KO30","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Eline sa at ho sett sæ lengst .. ho sett sæ ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"KO31","yes","ass.oft1","Eg sett meg oftest lengst bak i bussen.",3,"C",2101,"Spoken","Ho Eline sa at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR002","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR007","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias sa at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR009","no","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sa at hu ofte sette seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR024","no","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sa at hun satt seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR028","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",3,"D",2101,"Spoken","Matias seie han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR040","no","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sa at ho ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR049","no","ass.oft1","Æ sett mæ ofte lengst bak i bussen.",3,"D",2101,"Spoken","Eline sa at hun ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
